Timestamp,Location,Mode,Position,KillCount
2018/03/20 10:57:41 AM EST,D5,Solo,1,12
2018/03/21 3:11:26 AM EST,D5,Solo,1,11
2018/03/21 3:11:47 AM EST,D5,Solo,1,11
2018/03/21 7:12:50 AM EST,D5,Squad,1,3
2018/03/21 1:34:19 PM EST,F3,Solo,40,1
2018/03/22 7:10:44 AM EST,F2,Solo,1,9
2018/03/22 3:56:25 PM EST,A6,Solo,1,11
2018/03/22 4:19:13 PM EST,F4,Solo,2,4
2018/03/22 7:15:36 PM EST,D2,Squad,3,8
2018/03/22 8:24:41 PM EST,F3,Solo,1,12
2018/03/22 11:35:53 PM EST,B10,Solo,2,2
2018/03/23 2:32:57 AM EST,I4,Solo,1,3
2018/03/23 11:03:07 AM EST,C7,Squad,1,8
2018/03/23 2:40:50 PM EST,I2,Duo,2,10
2018/03/23 3:03:58 PM EST,H6,Solo,1,16
2018/03/23 6:59:59 PM EST,H6,Solo,20,4
2018/03/23 8:32:23 PM EST,G10,Solo,24,1
2018/03/23 10:47:43 PM EST,C2,Duo,3,2
2018/03/23 10:47:49 PM EST,C2,Duo,3,2
2018/03/23 11:00:16 PM EST,H4,Solo,1,3
2018/03/23 11:00:23 PM EST,H4,Solo,1,3
2018/03/24 11:46:09 AM EST,A5,Solo,2,5
2018/03/24 1:09:41 PM EST,J9,Solo,5,3
2018/03/24 3:39:27 PM EST,A9,Solo,13,2
2018/03/24 5:21:43 PM EST,E2,Solo,49,0
2018/03/24 5:54:29 PM EST,C7,Solo,19,0
2018/03/24 7:22:58 PM EST,G6,Solo,30,2
2018/03/24 8:56:57 PM EST,F7,Squad,1,6
2018/03/24 9:12:56 PM EST,F9,Squad,1,3
2018/03/25 12:31:58 AM EST,F2,Solo,1,11
2018/03/25 12:32:05 AM EST,F2,Solo,1,11
2018/03/25 8:11:58 AM EST,D5,Solo,2,3
2018/03/25 8:32:17 AM EST,H6,Squad,1,6
2018/03/25 9:50:58 AM EST,C3,Solo,1,7
2018/03/25 1:32:25 PM EST,B2,Solo,1,6
2018/03/25 2:31:42 PM EST,C3,Solo,2,3
2018/03/25 3:01:43 PM EST,A2,Duo,1,2
2018/03/25 5:31:57 PM EST,E9,Squad,1,2
2018/03/25 6:09:06 PM EST,A5,Solo,6,2
2018/03/26 12:56:53 AM EST,G4,Solo,2,5
2018/03/26 1:43:08 AM EST,H8,Solo,2,6
2018/03/26 9:29:51 AM EST,A7,Solo,1,4
2018/03/26 11:45:39 AM EST,I2,Solo,2,1
2018/03/26 11:59:18 AM EST,E4,Solo,1,3
2018/03/26 3:09:33 PM EST,C7,Solo,13,2
2018/03/26 5:42:54 PM EST,B2,Squad,1,7
2018/03/26 5:47:50 PM EST,H7,Solo,17,4
2018/03/26 6:16:14 PM EST,G6,Solo,1,8
2018/03/26 9:49:20 PM EST,F6,Duo,4,5
2018/03/26 10:03:54 PM EST,F10,Solo,1,8
2018/03/26 10:07:26 PM EST,F7,Solo,1,8
2018/03/26 10:24:01 PM EST,C4,Solo,2,5
2018/03/27 4:09:40 AM EST,C2,Solo,1,6
2018/03/27 11:32:37 AM EST,F5,Solo,3,0
2018/03/27 2:52:46 PM EST,F7,Solo,6,8
2018/03/27 3:57:15 PM EST,D5,Solo,1,4
2018/03/27 5:58:06 PM EST,G3,Solo,2,3
2018/03/27 8:25:11 PM EST,D6,Squad,4,3
2018/03/27 10:18:31 PM EST,A5,Solo,11,1
2018/03/28 7:04:08 AM EST,I7,Solo,10,4
2018/03/28 10:05:36 AM EST,I3,Squad,47,0
2018/03/28 11:48:04 AM EST,A7,Solo,5,4
2018/03/28 1:11:49 PM EST,A4,Duo,13,3
2018/03/28 7:47:45 PM EST,A7,Squad,4,3
2018/03/28 9:10:27 PM EST,C3,Squad,1,6
2018/03/29 7:34:59 AM EST,I3,Squad,7,1
2018/03/29 1:32:00 PM EST,C3,Squad,12,2
2018/03/29 3:42:29 PM EST,F2,Solo,22,2
2018/03/29 4:47:34 PM EST,D10,Solo,1,3
2018/03/29 4:53:51 PM EST,F7,Solo,9,4
2018/03/29 10:07:31 PM EST,I3,Solo,2,5
2018/03/30 12:03:02 AM EST,A6,Solo,3,2
2018/03/30 11:27:03 AM EST,I4,Duo,2,5
2018/03/30 3:04:26 PM EST,F7,Solo,3,4
2018/03/30 3:54:45 PM EST,D5,Squad,18,4
2018/03/30 6:33:19 PM EST,F5,Solo,13,3
2018/03/30 8:04:04 PM EST,C3,Solo,1,6
2018/03/30 9:03:41 PM EST,D5,Solo,2,11
2018/03/31 11:10:01 AM EST,F10,Solo,1,4
2018/03/31 12:49:44 PM EST,J5,Solo,1,3
2018/03/31 6:41:22 PM EST,D6,Solo,1,6
2018/03/31 6:57:19 PM EST,C2,Solo,1,6
2018/03/31 11:12:33 PM EST,D7,Solo,1,8
2018/03/31 11:32:37 PM EST,I3,Solo,2,1
2018/04/01 2:42:09 AM EST,G3,Solo,1,12
2018/04/01 2:42:12 AM EST,I5,Solo,1,8
2018/04/01 10:42:56 AM EST,G3,Duo,1,0
2018/04/01 11:52:59 AM EST,D5,Squad,1,2
2018/04/01 11:53:07 AM EST,D5,Squad,1,2
2018/04/01 11:53:08 AM EST,C7,Solo,2,0
2018/04/01 11:53:56 AM EST,G6,Solo,8,0
2018/04/01 1:50:02 PM EST,A5,Solo,30,2
2018/04/01 7:10:34 PM EST,C5,Solo,1,9
2018/04/01 9:12:14 PM EST,D7,Duo,9,0
2018/04/01 9:57:39 PM EST,F7,Solo,17,4
2018/04/01 10:03:26 PM EST,D7,Solo,1,8
2018/04/01 11:01:48 PM EST,G9,Solo,3,4
2018/04/02 5:02:07 AM EST,J5,Solo,2,4
2018/04/02 9:47:35 AM EST,F10,Solo,1,6
2018/04/02 11:27:50 AM EST,D5,Solo,1,15
2018/04/02 11:28:24 AM EST,F3,Squad,1,2
2018/04/02 1:28:09 PM EST,E9,Solo,1,3
2018/04/02 3:43:46 PM EST,D7,Solo,1,4
2018/04/02 4:44:17 PM EST,H8,Solo,2,4
2018/04/02 5:06:47 PM EST,F7,Duo,5,3
2018/04/02 6:44:38 PM EST,C3,Squad,1,5
2018/04/02 6:52:47 PM EST,D5,Solo,11,3
2018/04/02 6:53:52 PM EST,D5,Solo,11,3
2018/04/02 7:22:02 PM EST,F7,Solo,1,8
2018/04/02 7:31:26 PM EST,F7,Solo,2,8
2018/04/02 9:25:48 PM EST,G8,Squad,1,5
2018/04/02 9:26:55 PM EST,E9,Solo,1,6
2018/04/02 10:17:41 PM EST,I3,Solo,1,10
2018/04/02 10:17:50 PM EST,D7,Solo,1,7
2018/04/02 10:20:50 PM EST,J5,Squad,1,3
2018/04/03 1:04:30 AM EST,F8,Solo,1,3
2018/04/03 2:32:26 AM EST,H6,Duo,2,2
2018/04/03 7:52:30 AM EST,F5,Solo,2,4
2018/04/03 8:07:06 AM EST,G7,Solo,1,2
2018/04/03 8:07:13 AM EST,G7,Solo,1,2
2018/04/03 12:41:19 PM EST,G8,Duo,2,5
2018/04/03 12:42:55 PM EST,F8,Duo,1,6
2018/04/03 2:08:47 PM EST,C3,Solo,1,11
2018/04/03 6:34:55 PM EST,D9,Solo,1,2
2018/04/03 6:46:45 PM EST,A6,Solo,1,1
2018/04/03 8:09:44 PM EST,G8,Solo,9,4
